username,full_name,is_verified,has_anonymous_profile_picture,biography_len,external_url,followers,following,has_clips,highlight_count,is_professional_account,is_private,media_count,total_tags,total_likes,total_comments,name_length,media_count_of_data_collected,average_likes
__crime__partner__04,രോഹിതത്. എം,0,0,144,0,2521,1986,1,22,0,0,39,3,2928,204,12.0,12,244.0
_a__r_j_,Abhinavraj p k,0,0,36,0,1010,990,0,10,0,1,9,42,3415,106,14.0,9,379.44444444444446
raheem_anzoor,raheem_a_ z__r,0,0,0,0,3782,3971,1,25,1,0,103,13,3845,233,14.0,12,320.4166666666667
__jabir__tanur,🌹جابر🌹,0,0,67,0,583,323,0,0,0,0,5,19,1563,242,6.0,5,312.6
f_h_a_d_r_a_h_m_a_n,fahad rahman,0,0,0,0,420,903,0,0,0,0,15,0,1782,14,12.0,12,148.5
devadath_._pramod_._._._,°¤__ɗꍟᐯɑɗɑʈɧ ƥɽɑɱꂦɗ__¤°,0,0,73,0,257,286,0,4,1,0,11,0,1304,46,23.0,11,118.54545454545455
moto_pulse.__,𝓢𝓪𝔂𝓪𝓷𝓽𝓱 / 𝓢𝓢,0,0,120,1,2326,1360,1,10,1,0,47,77,4858,466,12.0,12,404.8333333333333
fi_.dha_h,0,0,0,0,0,255,326,0,0,0,1,0,0,0,0,0.0,0,0.0
costume_.of_kottakkal,ᶜᵒˢᵗᵘᵐᵉ ᵒᶠ ᵏᵒᵗᵗᵃᵏᵏᵃˡ,0,0,22,0,782,202,0,1,1,0,3,40,283,41,20.0,3,94.33333333333333
as_hif____2,💫ashif_2💫,0,0,29,0,2939,931,1,20,1,0,39,73,2519,180,9.0,12,209.91666666666666
insta.snaps._,❙ 🇳 🇸 🇹 🇦 🇸 🇳 🇦 🇵 🇸 📸,0,0,150,0,3208,2880,0,1,1,0,36,42,2525,582,21.0,12,210.41666666666666
_gdev_,Jidev KD 🔆,0,0,31,0,1265,1092,0,9,0,1,31,23,2839,471,10.0,12,236.58333333333334
sabitharashi_ishani,Isha,0,0,50,0,1227,517,0,0,0,1,41,4,3449,150,4.0,12,287.4166666666667
abhinav_pn,Abhinav pn,0,0,15,0,5343,2130,1,5,1,0,30,6,4426,244,10.0,12,368.8333333333333
sreerag.vivek,z3r0_K,0,0,48,0,1190,1113,0,1,1,0,14,20,4903,424,6.0,12,408.5833333333333
_an.ja.na_,Anjana.Mc,0,0,136,0,644,524,0,6,0,1,7,14,2000,288,9.0,7,285.7142857142857
fa.___.thima,فاطمة,0,0,24,0,1069,200,0,17,0,1,0,0,0,0,5.0,0,0.0
s_r_u_t_h_i_g_s,sruthi gireesh,0,0,86,0,477,220,0,1,0,0,18,12,4150,166,14.0,12,345.8333333333333
