username,full_name,is_verified,has_anonymous_profile_picture,biography_len,external_url,followers,following,has_clips,highlight_count,is_professional_account,is_private,media_count,total_tags,total_likes,total_comments,name_length,media_count_of_data_collected,average_likes
denny_iype,Denny Iype,0,1,0,0,5,33,0,0,0,1,0,0,0,0,10,0,0
anandhu_rajn,anandhu raj,0,0,0,0,65,307,0,0,0,1,0,0,0,0,11,0,0
safwan_sichu,safwan_sichu,0,1,0,0,12,78,0,0,0,0,0,0,0,0,12,0,0
roke.y2010,rokey,0,1,0,0,27,47,0,0,0,0,0,0,0,0,5,0,0
jaseemta,Jaseem__ ta___,0,1,0,0,91,442,0,0,0,0,0,0,0,0,14,0,0
nabee_likka,0,0,1,0,0,2,40,0,0,0,1,0,0,0,0,0,0,0
_livos_exist_,ഷാജഹാന്‍ ✨✨✨,0,0,84,0,50,224,0,1,0,0,1,0,6,0,12,1,6
d.d______.___,ᴍʀ. ɪᴍᴘᴇʀғᴇᴄᴛ,0,0,0,0,16,117,0,0,0,0,0,0,0,0,13,0,0
patriachy_lover,The Patriach,0,0,0,0,47,78,0,0,0,0,0,0,0,0,12,0,0
durg_adevi1,ᴠᴇᴇᴛʟᴇ ᴠᴀᴀᴢʜᴀ�,0,0,119,0,49,42,1,4,0,0,2,0,32,1,14,2,16
bhavan_7056,0,0,1,0,0,127,463,0,0,0,0,0,0,0,0,0,0,0
dudu14406,0,0,0,0,0,8,41,0,0,0,1,0,0,0,0,0,0,0
itznj5,0,0,1,0,0,15,94,0,0,0,0,0,0,0,0,0,0,0
denil3687,Davis Denil,0,1,0,0,48,582,0,0,0,0,0,0,0,0,11,0,0
shanasanha2021,0,0,0,0,0,50,248,0,0,0,0,0,0,0,0,0,0,0
libin1436,LIBIN SABU,0,0,36,0,10,434,0,2,1,0,2,0,3,0,10,2,1.5
___lucyy_____,lucky,0,0,1,0,144,36,0,0,1,0,0,0,0,0,5,0,0
ananthu003ks,ananthu,0,1,0,0,23,144,0,0,0,0,0,0,0,0,7,0,0
_gopeekrishnan._7,™ᴅΔяк___,0,1,0,0,265,208,1,2,1,0,11,29,1013,36,8,11,92.09090909
cro__magnon__,Manu Emmanuel Kumbuckal,0,0,128,0,416,411,0,3,0,0,9,0,479,29,23,9,53.22222222
vahi_d1262,0,0,1,0,0,12,355,0,0,0,0,0,0,0,0,0,0,0
al.en9594,��ⓔｎ���,0,0,46,0,73,114,0,0,0,0,0,0,0,0,7,0,0
abhi9891abhi,abhi abhi,0,1,0,0,28,495,0,0,0,0,0,0,0,0,9,0,0
qwesrxtvubin,0,0,1,0,0,5,93,0,0,0,0,0,0,0,0,0,0,0
manojkk_manoj,Manoj Manojkk,0,0,13,0,65,245,1,0,0,0,3,0,41,0,13,3,13.66666667
a_k_h_i_l_._k,Akhil k,0,1,0,0,26,34,0,0,0,0,0,0,0,0,7,0,0
demo__ster,Rahul M,0,0,45,0,28,775,0,0,0,0,0,0,0,0,7,0,0
swathi_5451,0,0,1,0,0,113,134,0,0,0,0,0,0,0,0,0,0,0
g4.gfx_,venom,0,0,12,0,4,73,0,0,1,0,0,0,0,0,5,0,0
hakosuka_17,0,0,0,0,0,1,526,0,0,0,0,0,0,0,0,0,0,0
